[[143.0, 179.0], [152.0, 163.0]] [[76.0, 82.0], [78.0, 129.0]] 73.7053909152 1560724.67988
[[630.0, 0.0], [152.0, 163.0]] [[78.0, 129.0], [64.0, 84.0]] 175.355677541 1649284.15825
[[143.0, 179.0], [131.0, 193.0]] [[76.0, 82.0], [64.0, 84.0]] 117.311636413 1651447.27794
[[131.0, 193.0], [115.0, 167.0]] [[147.0, 178.0], [159.0, 161.0]] 25.4100911827 1652223.01436
[[143.0, 179.0], [115.0, 167.0]] [[630.0, 0.0], [159.0, 161.0]] 173.489409648 1657508.03828
[[78.0, 82.0], [82.0, 127.0]] [[147.0, 178.0], [134.0, 194.0]] 78.0951256288 1661036.17519
[[82.0, 127.0], [67.0, 84.0]] [[134.0, 194.0], [123.0, 172.0]] 80.6900976938 1664710.89827
[[78.0, 82.0], [67.0, 84.0]] [[147.0, 178.0], [123.0, 172.0]] 100.450146661 1665833.96506
[[82.0, 127.0], [78.0, 82.0]] [[87.0, 62.0], [65.0, 75.0]] 34.0929848492 1667374.19842
[[78.0, 82.0], [100.0, 102.0]] [[65.0, 75.0], [72.0, 53.0]] 30.703082321 1668287.06669
[[82.0, 127.0], [100.0, 102.0]] [[87.0, 62.0], [72.0, 53.0]] 52.9467080898 1669918.1347
[[152.0, 163.0], [159.0, 144.0]] [[65.0, 75.0], [87.0, 62.0]] 113.666770237 1672219.71138
[[630.0, 0.0], [159.0, 144.0]] [[87.0, 62.0], [76.0, 82.0]] 284.156400178 1812172.72437
[[152.0, 163.0], [143.0, 179.0]] [[65.0, 75.0], [76.0, 82.0]] 113.208329693 1814250.95305
[[143.0, 179.0], [125.0, 157.0]] [[159.0, 161.0], [166.0, 141.0]] 30.6341439549 1815121.73903
[[152.0, 163.0], [125.0, 157.0]] [[630.0, 0.0], [166.0, 141.0]] 161.148339332 1819578.88187
[[55.0, 84.0], [67.0, 84.0]] [[159.0, 161.0], [147.0, 178.0]] 124.493638576 1821072.80553
[[630.0, 0.0], [165.0, 124.0]] [[147.0, 178.0], [136.0, 152.0]] 165.503336437 1900721.18947
[[159.0, 144.0], [152.0, 163.0]] [[159.0, 161.0], [136.0, 152.0]] 12.7782175826 1900979.92865
[[48.0, 79.0], [25.0, 77.0]] [[53.0, 83.0], [78.0, 129.0]] 24.2039147525 1901538.71942
[[48.0, 79.0], [33.0, 61.0]] [[78.0, 129.0], [22.0, 116.0]] 47.6286845455 1902654.69517
[[630.0, 0.0], [170.0, 103.0]] [[53.0, 83.0], [22.0, 116.0]] 280.966017914 2035099.4058
[[67.0, 84.0], [56.0, 75.0]] [[78.0, 129.0], [53.0, 83.0]] 11.0866245169 2035256.97634
[[56.0, 75.0], [67.0, 75.0]] [[53.0, 83.0], [64.0, 84.0]] 8.28053062822 2035348.06218
[[67.0, 84.0], [67.0, 75.0]] [[166.0, 141.0], [170.0, 121.0]] 100.075603247 2036248.7426
[[56.0, 75.0], [67.0, 84.0]] [[630.0, 0.0], [170.0, 121.0]] 151.205493868 2038397.77645
[[67.0, 84.0], [55.0, 84.0]] [[166.0, 141.0], [159.0, 161.0]] 118.145559872 2039815.52317
